iter	Passed	Remaining
405	7454	10906
406	7472	10887
407	7490	10868
408	7508	10849
409	7524	10827
410	7542	10809
411	7561	10791
412	7580	10774
413	7599	10756
414	7617	10737
415	7636	10721
416	7656	10704
417	7674	10685
418	7694	10668
419	7713	10652
420	7733	10636
421	7752	10618
422	7771	10601
423	7792	10585
424	7810	10567
425	7830	10550
426	7850	10534
427	7869	10516
428	7887	10497
429	7906	10480
430	7925	10462
431	7942	10443
432	7960	10424
433	7979	10406
434	7996	10386
435	8011	10363
436	8029	10344
437	8049	10327
438	8068	10311
439	8088	10293
440	8106	10275
441	8123	10255
442	8141	10236
443	8159	10218
444	8178	10200
445	8196	10181
446	8215	10163
447	8233	10145
448	8252	10126
449	8270	10108
450	8289	10090
451	8308	10073
452	8326	10054
453	8345	10036
454	8364	10018
455	8382	9999
456	8400	9981
457	8418	9963
458	8437	9944
459	8455	9925
460	8472	9905
461	8489	9886
462	8508	9867
463	8525	9848
464	8543	9829
465	8562	9812
466	8580	9793
467	8598	9774
468	8616	9755
469	8633	9735
470	8652	9718
471	8670	9699
472	8689	9681
473	8709	9664
474	8727	9646
475	8746	9628
476	8765	9610
477	8785	9594
478	8804	9577
479	8823	9558
480	8841	9540
481	8859	9521
482	8878	9503
483	8896	9484
484	8915	9466
485	8933	9448
486	8952	9430
487	8969	9410
488	8987	9392
489	9005	9373
490	9023	9354
491	9042	9336
492	9062	9319
493	9080	9301
494	9098	9282
495	9117	9264
496	9135	9246
497	9153	9226
498	9171	9207
499	9189	9189
500	9208	9171
501	9227	9153
502	9245	9135
503	9265	9118
504	9283	9099
505	9300	9080
506	9319	9062
507	9338	9044
508	9357	9026
509	9375	9007
510	9393	8989
511	9412	8971
512	9432	8954
513	9451	8936
514	9468	8916
515	9486	8898
516	9504	8879
517	9521	8860
518	9540	8841
519	9560	8824
520	9578	8806
521	9596	8787
522	9614	8768
523	9631	8748
524	9648	8729
525	9667	8711
526	9685	8693
527	9704	8675
528	9722	8656
529	9740	8637
530	9759	8619
531	9778	8602
532	9796	8583
533	9814	8564
534	9833	8547
535	9853	8529
536	9870	8510
537	9888	8491
538	9905	8472
539	9925	8454
540	9943	8436
541	9962	8418
542	9979	8399
543	9997	8380
544	10015	8361
545	10033	8343
546	10052	8325
547	10072	8307
548	10090	8288
549	10106	8269
550	10125	8250
551	10143	8232
552	10161	8213
553	10180	8195
554	10198	8176
555	10215	8158
556	10234	8139
557	10252	8121
558	10270	8102
559	10287	8083
560	10305	8064
561	10324	8046
562	10344	8029
563	10361	8010
564	10378	7990
565	10396	7972
566	10415	7953
567	10433	7935
568	10452	7917
569	10469	7898
570	10486	7878
571	10502	7858
572	10519	7839
573	10538	7820
574	10556	7802
575	10573	7783
576	10592	7765
577	10609	7745
578	10627	7727
579	10645	7708
580	10663	7689
581	10681	7671
582	10699	7653
583	10717	7634
584	10735	7615
585	10753	7597
586	10771	7578
587	10790	7560
588	10808	7542
589	10826	7523
590	10845	7505
591	10862	7486
592	10880	7467
593	10898	7448
594	10916	7430
595	10933	7411
596	10952	7393
597	10969	7374
598	10987	7355
599	11006	7337
600	11024	7319
601	11042	7300
602	11060	7282
603	11078	7263
604	11100	7247
605	11118	7228
606	11137	7210
607	11155	7192
608	11172	7173
609	11192	7155
610	11210	7137
611	11230	7119
612	11249	7101
613	11266	7083
614	11285	7064
615	11304	7046
616	11323	7028
617	11342	7010
618	11360	6992
619	11378	6974
620	11396	6955
621	11414	6936
622	11432	6918
623	11451	6900
624	11469	6881
625	11487	6863
626	11506	6845
627	11525	6827
628	11544	6809
629	11562	6790
630	11580	6772
631	11598	6753
632	11616	6734
633	11634	6716
634	11653	6698
635	11670	6679
636	11689	6661
637	11707	6642
638	11726	6624
639	11745	6606
640	11763	6588
641	11781	6569
642	11799	6551
643	11816	6532
644	11834	6513
645	11852	6494
646	11871	6477
647	11890	6459
648	11913	6443
649	11935	6426
650	11955	6409
651	11978	6393
652	11998	6375
653	12017	6357
654	12036	6339
655	12054	6321
656	12073	6303
657	12091	6284
658	12109	6265
659	12127	6247
660	12146	6229
661	12163	6210
662	12182	6192
663	12199	6173
664	12217	6154
665	12236	6136
666	12255	6118
667	12274	6100
668	12292	6082
669	12312	6064
670	12331	6046
671	12350	6028
672	12370	6010
673	12405	6000
674	12426	5983
675	12444	5964
676	12462	5946
677	12481	5927
678	12499	5908
679	12517	5890
680	12535	5871
681	12553	5853
682	12574	5836
683	12592	5817
684	12609	5798
685	12628	5780
686	12647	5762
687	12666	5743
688	12685	5725
689	12703	5707
690	12722	5689
691	12741	5671
692	12759	5652
693	12778	5634
694	12796	5615
695	12814	5597
696	12833	5579
697	12852	5560
698	12869	5541
699	12889	5523
700	12907	5505
701	12925	5487
702	12944	5468
703	12962	5450
704	12980	5431
705	12999	5413
706	13016	5394
707	13035	5376
708	13054	5358
709	13073	5339
710	13090	5321
711	13109	5302
712	13129	5284
713	13147	5266
714	13166	5248
715	13185	5230
716	13203	5211
717	13221	5192
718	13239	5174
719	13256	5155
720	13273	5136
721	13288	5116
722	13306	5098
723	13324	5079
724	13343	5061
725	13361	5042
726	13379	5024
727	13397	5005
728	13415	4986
729	13433	4968
730	13450	4949
731	13469	4931
732	13486	4912
733	13504	4893
734	13523	4875
735	13541	4857
736	13558	4838
737	13573	4818
738	13591	4800
739	13609	4781
740	13628	4763
741	13645	4744
742	13663	4725
743	13681	4707
744	13699	4689
745	13717	4670
746	13734	4651
747	13752	4633
748	13770	4614
749	13789	4596
750	13807	4577
751	13825	4559
752	13843	4540
753	13860	4522
754	13879	4503
755	13897	4485
756	13916	4467
757	13935	4448
758	13950	4429
759	13968	4411
760	13987	4392
761	14006	4374
762	14025	4356
763	14042	4337
764	14060	4319
765	14079	4300
766	14097	4282
767	14115	4264
768	14134	4245
769	14152	4227
770	14171	4209
771	14188	4190
772	14206	4171
773	14221	4152
774	14239	4134
775	14256	4115
776	14273	4096
777	14293	4078
778	14312	4060
779	14331	4042
780	14349	4023
781	14366	4004
782	14385	3986
783	14403	3968
784	14421	3949
785	14438	3930
786	14456	3912
787	14473	3893
788	14491	3875
789	14510	3857
790	14529	3839
791	14547	3820
792	14564	3801
793	14582	3783
794	14600	3764
795	14618	3746
796	14638	3728
797	14656	3710
798	14674	3691
799	14692	3673
800	14710	3654
801	14728	3636
802	14745	3617
803	14765	3599
804	14783	3580
805	14801	3562
806	14819	3544
807	14838	3526
808	14856	3507
809	14874	3489
810	14891	3470
811	14913	3452
812	14933	3434
813	14951	3416
814	14970	3398
815	14990	3380
816	15009	3361
817	15028	3343
818	15047	3325
819	15065	3307
820	15083	3288
821	15101	3270
822	15119	3251
823	15136	3233
824	15155	3214
825	15173	3196
826	15192	3178
827	15210	3159
828	15228	3141
829	15246	3122
830	15264	3104
831	15282	3085
832	15301	3067
833	15319	3049
834	15338	3030
835	15355	3012
836	15372	2993
837	15391	2975
838	15411	2957
839	15428	2938
840	15445	2920
841	15463	2901
842	15482	2883
843	15498	2864
844	15516	2846
845	15534	2827
846	15552	2809
847	15569	2790
848	15587	2772
849	15605	2753
850	15624	2735
851	15643	2717
852	15662	2699
853	15680	2680
854	15699	2662
855	15717	2644
856	15735	2625
857	15753	2607
858	15772	2588
859	15790	2570
860	15808	2552
861	15825	2533
862	15843	2515
863	15860	2496
864	15879	2478
865	15899	2460
866	15919	2442
867	15937	2423
868	15955	2405
869	15973	2386
870	15991	2368
871	16009	2350
872	16027	2331
873	16044	2313
874	16061	2294
875	16079	2276
876	16098	2257
877	16116	2239
878	16134	2221
879	16154	2202
880	16172	2184
881	16190	2166
882	16209	2147
883	16227	2129
884	16241	2110
885	16259	2092
886	16276	2073
887	16295	2055
888	16313	2036
889	16330	2018
890	16349	2000
891	16367	1981
892	16384	1963
893	16404	1945
894	16421	1926
895	16439	1908
896	16458	1889
897	16476	1871
898	16495	1853
899	16514	1834
900	16532	1816
901	16549	1798
902	16565	1779
903	16580	1760
904	16598	1742
905	16617	1724
906	16634	1705
907	16652	1687
908	16668	1668
909	16686	1650
910	16704	1631
911	16723	1613
912	16741	1595
913	16759	1576
914	16776	1558
915	16795	1540
916	16814	1521
917	16832	1503
918	16849	1485
919	16867	1466
920	16886	1448
921	16906	1430
922	16924	1411
923	16943	1393
924	16961	1375
925	16980	1356
926	16998	1338
927	17017	1320
928	17035	1301
929	17053	1283
930	17069	1265
931	17086	1246
932	17106	1228
933	17124	1210
934	17142	1191
935	17162	1173
936	17181	1155
937	17200	1136
938	17216	1118
939	17235	1100
940	17253	1081
941	17271	1063
942	17290	1045
943	17310	1026
944	17328	1008
945	17348	990
946	17367	971
947	17385	953
948	17404	935
949	17423	917
950	17441	898
951	17459	880
952	17477	861
953	17495	843
954	17513	825
955	17532	806
956	17550	788
957	17568	770
958	17587	751
959	17605	733
960	17623	715
961	17642	696
962	17660	678
963	17679	660
964	17698	641
965	17716	623
966	17733	605
967	17752	586
968	17769	568
969	17787	550
970	17806	531
971	17822	513
972	17839	495
973	17857	476
974	17874	458
975	17892	439
976	17911	421
977	17929	403
978	17947	384
979	17965	366
980	17984	348
981	18003	330
982	18022	311
983	18040	293
984	18057	274
985	18075	256
986	18094	238
987	18112	219
988	18130	201
989	18149	183
990	18168	164
991	18186	146
992	18205	128
993	18223	109
994	18241	91
995	18259	73
996	18277	54
997	18295	36
998	18314	18
999	18332	0
