iter	Logloss
0	0.6463458938
1	0.6122235965
2	0.5848411555
3	0.5653124903
4	0.5494058665
5	0.535557627
6	0.5259480845
7	0.5181097894
8	0.5107114468
9	0.5059836873
10	0.5021174865
11	0.4986629205
12	0.4949264878
13	0.4921555201
14	0.4901599396
15	0.4884590206
16	0.4870063488
17	0.4854719594
18	0.484157687
19	0.4832157104
20	0.4824211038
21	0.4816822101
22	0.4809921584
23	0.480486947
24	0.4797912832
25	0.4791317817
26	0.4786941303
27	0.4783220807
28	0.4778254793
29	0.4774480451
30	0.477169176
31	0.4768805887
32	0.4766161735
33	0.4762424057
34	0.4759957698
35	0.475735839
36	0.4755672524
37	0.4753549535
38	0.4751415435
39	0.4748911542
40	0.4746326235
41	0.4744988099
42	0.4742566411
43	0.4741209102
44	0.4739552646
45	0.4737950713
46	0.4736758198
47	0.4735603007
48	0.4734079251
49	0.4732755256
50	0.4731680582
51	0.47307489
52	0.4729393394
53	0.4728333486
54	0.4727390559
55	0.4726509247
56	0.4725445533
57	0.4724656077
58	0.4722783319
59	0.4721577509
60	0.4720315955
61	0.4719158077
62	0.4717998655
63	0.4716895694
64	0.4715629983
65	0.4714586143
66	0.4712563369
67	0.4711312874
68	0.4709912818
69	0.4708385367
70	0.4707533144
71	0.4706832344
72	0.4706009177
73	0.4705105918
74	0.4704205528
75	0.4703759738
76	0.4702952264
77	0.4701925855
78	0.470111898
79	0.470048624
80	0.4699397648
81	0.4698829217
82	0.4697626666
83	0.4697072896
84	0.4696367923
85	0.469571584
86	0.4695084168
87	0.4693948265
88	0.4693282782
89	0.4691778572
90	0.4691016564
91	0.469028423
92	0.4689500818
93	0.4688234681
94	0.4687660793
95	0.4687443887
96	0.468644605
97	0.468605319
98	0.4685442112
99	0.4684997987
100	0.4684357409
101	0.468383561
102	0.4683412883
103	0.4683173487
104	0.4682354253
105	0.4681310762
106	0.4680889766
107	0.4680131948
108	0.4679480165
109	0.4679016348
110	0.4678007058
111	0.4677397224
112	0.4676621705
113	0.4676067254
114	0.467517445
115	0.4674119696
116	0.4673424061
117	0.4672567883
118	0.4671834273
119	0.467135564
120	0.4670155417
121	0.4669625487
122	0.466869108
123	0.4668109801
124	0.4667307317
125	0.4666605707
126	0.4665704747
127	0.4665105809
128	0.4664389507
129	0.4664057402
130	0.4663591265
131	0.4662619766
132	0.4661519126
133	0.4661065019
134	0.4660334282
135	0.465991574
136	0.4659336153
137	0.4658524748
138	0.4657949027
139	0.4657078783
140	0.4656517663
141	0.4655694049
142	0.4655184229
143	0.4654395132
144	0.4653401501
145	0.46528248
146	0.4652040286
147	0.4651659603
148	0.4650824595
149	0.4650181107
150	0.4649686443
151	0.4648958615
152	0.4648145247
153	0.46474764
154	0.4646897711
155	0.4646463813
156	0.4645979672
157	0.4645447768
158	0.4644996435
159	0.4644394858
160	0.4643922193
161	0.4643579336
162	0.4642941396
163	0.4642419476
164	0.4641633084
165	0.4640881085
166	0.4640213156
167	0.4639647471
168	0.4639059862
169	0.4638562816
170	0.4638057499
171	0.4637272053
172	0.4636989292
173	0.4636542854
174	0.463595651
175	0.4635585878
176	0.4635166855
177	0.4634686516
178	0.4634266441
179	0.4633821784
180	0.463306449
181	0.4632675023
182	0.4632236731
183	0.4631795816
184	0.4631042261
185	0.4630517535
186	0.4629955913
187	0.4629441355
188	0.4628956439
189	0.4628599425
190	0.4628108316
191	0.4627565681
192	0.4626801973
193	0.4626385868
194	0.4625987456
195	0.4625506148
196	0.4624873337
197	0.4624198482
198	0.4623699113
199	0.4623224344
200	0.4622824237
201	0.4622392241
202	0.4621597586
203	0.4621357661
204	0.4620866999
205	0.4620494342
206	0.4620155552
207	0.4619878634
208	0.461928988
209	0.461889324
210	0.4618354418
211	0.4617971544
212	0.4617649142
213	0.4616914548
214	0.461650721
215	0.4616029908
216	0.461568764
217	0.4615008127
218	0.4614575794
219	0.4614179806
220	0.4613726932
221	0.4613446942
222	0.461273598
223	0.4612228447
224	0.461177559
225	0.4611299244
226	0.4610837449
227	0.4610484891
228	0.4609924123
229	0.460935572
230	0.4609005298
231	0.4608451709
232	0.4608054209
233	0.460759151
234	0.4607209935
235	0.4606971601
236	0.4606385014
237	0.460618271
238	0.4605565028
239	0.4605247079
240	0.4604908599
241	0.4604642799
242	0.4604365396
243	0.4603973208
244	0.4603574835
245	0.460317312
246	0.4602724731
247	0.4602337293
248	0.4601921427
249	0.4601512157
250	0.4600860787
251	0.460048866
252	0.4600139341
253	0.459961537
254	0.4599013009
255	0.4598474787
256	0.4598069446
257	0.4597616504
258	0.4597298463
259	0.4596804304
260	0.4596370234
261	0.4595882326
262	0.4595425465
263	0.4594972774
264	0.4594421743
265	0.4594417446
266	0.45938624
267	0.4593331485
268	0.4592977591
269	0.4592568991
270	0.4592306825
271	0.4591850239
272	0.4591623065
273	0.459105717
274	0.4590636655
275	0.4590177343
276	0.4590015886
277	0.4589519277
278	0.4589037424
279	0.4588709668
280	0.4588174193
281	0.4587439458
282	0.4586852452
283	0.4586554106
284	0.4586294286
285	0.458581816
286	0.4585542988
287	0.4585148392
288	0.458467624
289	0.4584070388
290	0.4583730101
291	0.4583435326
292	0.4583121511
293	0.4582729148
294	0.4582421091
295	0.4582134097
296	0.4581575453
297	0.4581239431
298	0.4580811835
299	0.4580492402
300	0.4580296856
301	0.4580052914
302	0.4579507798
303	0.4579026188
304	0.4578673149
305	0.4578224622
306	0.4577989131
307	0.4577411359
308	0.457706568
309	0.4576674129
310	0.4576363126
311	0.4575917068
312	0.4575687765
313	0.457538245
314	0.4575050716
315	0.4574602867
316	0.4574252114
317	0.4573909802
318	0.457344835
319	0.4573104636
320	0.4572910721
321	0.4572459845
322	0.4572232271
323	0.4571587399
324	0.4571290172
325	0.4570771005
326	0.45704542
327	0.4570068581
328	0.4569789085
329	0.4569325194
330	0.4569071535
331	0.4568631239
332	0.4568349331
333	0.4568145531
334	0.456733401
335	0.4566961287
336	0.4566608103
337	0.4566290005
338	0.4566108282
339	0.4565589873
340	0.4565229113
341	0.45647883
342	0.4564494644
343	0.4564108328
344	0.4563789663
345	0.4563404372
346	0.4563207285
347	0.4562810147
348	0.4562202404
349	0.4561903669
350	0.4561521734
351	0.4561148247
352	0.4560754165
353	0.4560421588
354	0.4559952699
355	0.4559571825
356	0.4559367445
357	0.4558978686
358	0.4558639418
359	0.4558321418
360	0.4557914286
361	0.4557727
362	0.4557540473
363	0.4557172622
364	0.4556730106
365	0.4556296972
366	0.4555940702
367	0.4555620397
368	0.4555370811
369	0.4554949727
370	0.4554799959
371	0.4554402728
372	0.45540235
373	0.4553780816
374	0.4553490145
375	0.4553135262
376	0.4552801579
377	0.4552430564
378	0.4552083698
379	0.4551758277
380	0.4551396064
381	0.4550983471
382	0.4550770344
383	0.4550480898
384	0.455031454
385	0.4550013021
386	0.4549683636
387	0.4549327538
388	0.4548988912
389	0.4548598549
390	0.4548142346
391	0.4547785673
392	0.4547534125
393	0.4547262539
394	0.454684586
395	0.4546461817
396	0.4546119528
397	0.4545760472
398	0.4545398517
399	0.4545069143
400	0.4544771567
401	0.454445511
402	0.4544136678
403	0.4543612011
